state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
300000	-50226.82671684036	-5684.804751263444	-44542.02196557692	5.756328811245185	2020.2957259832754	108.92271840659392	5.128371246684882	8.873054019157461	0.3295293098620223	0.19872063381716246	0.23920505160268923	0.23254500471812165	0.21241802056039866	0.00257299844870319	0.0022785320871263138	0.00214050818317948	0.8607594988555406	0.022080971817569663	2.3836800570461443	0.9515427504145556	2.0960188808219193	-44542.02196557692	-4752.222150280621	-934.8007461989988
600000	-50254.18960774554	-5692.421244421157	-44561.76836332438	6.194122524550858	2019.8579322699695	112.08658610947094	5.13648649614756	8.517790090853739	0.33431664421765084	0.19241027437557828	0.24334562901477533	0.22992745239199083	0.22507967088287364	0.00251521033648184	0.002942407986745602	0.0019906850668335273	1.0260730977473849	-0.00740903276914051	2.3642692352218746	0.9579734339518181	2.3533607553587985	-44561.76836332438	-4752.222150280621	-942.483620004019
900000	-50202.952311905494	-5651.7900021972555	-44551.16230970824	6.462958346634523	2019.589096447886	107.02918429021388	4.442134691723465	9.07063373938351	0.32640839072759614	0.19501822229047852	0.2468852567184538	0.23168813026346707	0.28807099911290107	0.003038282175430683	0.0037399265382934135	0.002121426682051944	1.024523289034616	-0.021078102465470726	2.360551597908537	0.9320908812051127	2.0849721719049916	-44551.16230970824	-4752.222150280621	-901.5983017842486
1200000	-50236.30078867108	-5689.6379972625955	-44546.66279140848	6.017823625758937	2020.0342311687616	111.93084542953945	4.850395657142538	8.606037033423803	0.3240619321381764	0.19769729557743973	0.24599341523070947	0.2322473570536695	0.22617607050215355	0.0029650306996577736	0.0032136682271615793	0.002095352630722062	1.053368933190003	-0.010526806303301101	2.29670688781064	0.9919328979558194	2.187813086903756	-44546.66279140848	-4752.222150280621	-939.6038822964224
1500000	-50191.92868441566	-5683.024391073227	-44508.904293342435	5.711465660826264	2020.3405891336943	109.61970685831328	4.860095895131273	9.822521444596122	0.32771812676756384	0.19447843789947403	0.2427685109406725	0.23503492439228407	0.25028508409393463	0.002980542834180991	0.003893067844681729	0.0020662402229608997	1.0405045387998417	0.0267472986397659	2.418692105400732	0.9911092638867969	2.297154531334959	-44508.904293342435	-4752.222150280621	-932.6948074743094
1800000	-50267.41425368316	-5689.522065377	-44577.892188306156	7.441451490288259	2018.6106033042322	112.99556352718706	4.885595593718915	8.998085695337661	0.33033177851114365	0.19978571560407288	0.24450630452285196	0.2253762013619264	0.25223452737089186	0.0027583845716849555	0.0026019382989887984	0.0020304474670608304	0.83952183989422	0.03999828026107991	2.310406601068516	0.9359170631296806	2.289036397988426	-44577.892188306156	-4752.222150280621	-939.4134452161081
2100000	-50253.106167575745	-5699.331413231201	-44553.774754344544	5.821337670190254	2020.23071712433	114.46616664210151	4.709935628493881	8.981494283861608	0.33490550160900917	0.19966318682932524	0.23741043715531063	0.2280208744063503	0.21390547923943792	0.0025882825525386653	0.0031012521452949303	0.0019646288376598243	1.0681272740816457	0.029413077883472416	2.3050187009476444	0.9554477979253893	2.4073241499398947	-44553.774754344544	-4752.222150280621	-949.3915336929683
2400000	-50232.00110186417	-5690.6484322270135	-44541.352669637155	5.358451415205819	2020.6936033793147	112.401511814315	5.1642317245302	9.026052448461028	0.33486299109468565	0.1924256500110269	0.24008136920419457	0.2326299896900881	0.2226060578148924	0.002542458250004523	0.0027804769507358733	0.002052914163519976	0.9626678154507482	0.02207426408949631	2.521844540164965	0.8784048494520436	2.0975650615765584	-44541.352669637155	-4752.222150280621	-940.601614911645
2700000	-50300.53259529174	-5759.44359687548	-44541.088998416264	6.895288305383673	2019.1567664891368	127.84008464663462	5.681335977925807	8.536723961380131	0.3306505597726051	0.19864792709730728	0.23748314881627794	0.23321836431380497	0.24385469704999127	0.00232011950765608	0.00233330768456062	0.0018088773845712585	0.94974312263494	0.04363771950824863	2.4203518706477394	1.0110436592252978	2.16735191931478	-44541.088998416264	-4752.222150280621	-1009.4570277159304
3000000	-50286.188000424794	-5753.190605106094	-44532.9973953187	6.988494686139648	2019.063560108381	128.85740979575945	6.440856416214146	10.137245244634503	0.329058904355428	0.1997942801625372	0.240987619805519	0.23015919567651127	0.2525632226418658	0.0023405269868955535	0.0022333013124936404	0.0017865994726202407	0.8608703507857418	0.00130538422012681	2.442143852308541	1.0072613391939977	2.447112643675028	-44532.9973953187	-4752.222150280621	-1002.7488950403797
3300000	-50276.15939837821	-5727.4646734388325	-44548.69472493938	5.377787351346979	2020.6742674431734	121.23507553776743	5.801504070024708	9.042574638906332	0.3338030698650715	0.20436463260066953	0.23718574475406098	0.22464655278019363	0.27416356201571745	0.002575906300448281	0.002903371274955866	0.0019428942155048856	1.0947254154409753	0.011966189621409882	2.341789383210389	0.9912315011652416	2.5009653009495043	-44548.69472493938	-4752.222150280621	-977.1995549763694
3600000	-50291.44596515756	-5752.236419310445	-44539.209545847116	5.732176026687266	2020.3198787678332	123.45958360252969	6.197650757210369	9.241503410953843	0.33715450809111014	0.1985001941453692	0.23539005144004185	0.22895524632347458	0.2316413816463388	0.0021712139917654384	0.0020063119653319795	0.0018285926738810785	0.9985227384510291	0.03264782490563808	2.4907999284751354	0.7934260666443889	2.0607314257205176	-44539.209545847116	-4752.222150280621	-1002.0931135843578
3900000	-50299.2119870866	-5742.48221321973	-44556.72977386687	6.641379086719292	2019.4106757078011	123.79200104942751	5.525860568737105	9.881156676005284	0.32901929088448945	0.200690993372836	0.23792683346807575	0.232362882274595	0.2626699775879744	0.0022664614011708183	0.002182748715146681	0.0018253798562527955	0.9401751743766789	0.020868410955806854	2.5443551974621355	0.962614747605741	2.399430601365669	-44556.72977386687	-4752.222150280621	-992.2376455111781
4200000	-50281.62468021725	-5730.226273946082	-44551.398406271175	5.793785295871868	2020.2582694986486	116.53319460395888	5.117664922153591	8.855282395380069	0.33207563981231614	0.19382154822146572	0.23936918052552061	0.23473363144069365	0.2317590265814883	0.002353886934394039	0.0025315265736135877	0.001924735028711279	0.9951586102598815	0.045759955042853455	2.4446347894452227	0.8701430042058074	2.310514703572243	-44551.398406271175	-4752.222150280621	-980.2726620620327
4500000	-50269.048475420874	-5698.315321243792	-44570.73315417708	5.536345160491741	2020.5157096340288	111.61773635487454	5.343040137914516	9.131891397080288	0.3318592189847374	0.1995183271201433	0.23637802664899676	0.23224442724611805	0.2440277833549217	0.002408045553744302	0.0024270743271676675	0.002014749632445384	0.9487224854607312	0.04428133932058849	2.39554887699691	0.8942139678013208	2.6060581790933153	-44570.73315417708	-4752.222150280621	-948.2126818592683
4800000	-50274.55999251639	-5730.102250301295	-44544.4577422151	5.529470191824324	2020.522584602696	117.49838201608341	5.286986236667178	9.275266571093786	0.3298594826018733	0.19621065394569065	0.23626708379803602	0.2376627796543956	0.24342923016192894	0.002498336958748957	0.002725272715910958	0.001907823342387747	1.0173872457351356	-0.029744493283078537	2.312642882303435	0.7948184948403887	2.288359578067283	-44544.4577422151	-4752.222150280621	-979.9652194274147
5100000	-50304.00770111041	-5762.109025726076	-44541.898675384335	5.798410448247524	2020.253644346273	124.62431279032768	5.9711339232816165	9.304155602792836	0.32902926203209787	0.19724899266429385	0.2383110194667136	0.2354107258368895	0.1955754763046797	0.002212870190698915	0.0019184465509319076	0.0018381636902975117	0.8200567209968065	0.04685312189623975	2.344994121568327	1.0259594030972772	2.072084212129235	-44541.898675384335	-4752.222150280621	-1012.0507588705237
5400000	-50284.60363025267	-5728.43187472161	-44556.17175553106	5.435556256913279	2020.6164985376072	118.0736472685619	5.492079664688092	9.661129007143826	0.33018589692468164	0.19823929201774476	0.2403568868067638	0.2312179242508046	0.23197435990609339	0.002383699933716394	0.002171906184085097	0.0018899042975156412	0.9248300141026575	0.056008860587730094	2.4260562121723277	0.9194153468699279	2.236902746523182	-44556.17175553106	-4752.222150280621	-978.2460738713902
5700000	-50327.19080715474	-5788.00535810465	-44539.185449050085	7.82018189890532	2018.2318728956152	132.21337786666749	6.8315850698319975	8.8337832899837	0.3343035197247122	0.19236875231400047	0.2444144792954395	0.228913248665843	0.21854146355515466	0.0020833630693405606	0.002006272142988487	0.001667487060758283	0.8431729228519161	0.03189415390130708	2.2854467629937116	0.9120559536836256	2.218820975828452	-44539.185449050085	-4752.222150280621	-1037.9181850817197
