,full_location,continent,country,state/province,county/town,municipality,discrete-phylo,latitude,longitude
52,Europe / Russian Federation / Republic of Kalmykia,Europe,Russian Federation,Republic of Kalmykia,,,europe,66.755,93.85
53,Europe / Russian Federation,Europe,Russian Federation,,,,europe,66.755,93.85
54,Europe / United Kingdom / Scotland,Europe,United Kingdom,Scotland,,,europe,54.00366,-2.547855
55,Asia / Japan / Hokkaido / Sapporo,Asia,Japan,Hokkaido,Sapporo,,asia,36,138
56,Europe / Norway / Nordland Fylke / Oksnes,Europe,Norway,Nordland Fylke,Oksnes,,europe,63.990556,12.307778
57,North America / Canada / Nova Scotia / Wolfville,North America,Canada,Nova Scotia,Wolfville,,east-canada,45.09174,-64.35927
58,Europe / Norway / Sogn og Fjordane Fylke / Hoyanger Herad,Europe,Norway,Sogn og Fjordane Fylke,Hoyanger Herad,,europe,63.990556,12.307778
59,"Europe / Netherlands / Provincie Noord-Holland / Texel, Ferry Harbour",Europe,Netherlands,Provincie Noord-Holland,"Texel, Ferry Harbour",,europe,52.31,5.46
60,Europe / Norway / Sogn og Fjordane Fylke / Askvoll,Europe,Norway,Sogn og Fjordane Fylke,Askvoll,,europe,63.990556,12.307778
61,North America / Canada / Newfoundland and Labrador / Mobile,North America,Canada,Newfoundland and Labrador,Mobile,,east-canada,47.24489,-52.84102
62,North America / United States / Massachusetts / Hudson,North America,United States,Massachusetts,Hudson,,new-england,42.39113,-71.5677
63,North America / Canada / Nova Scotia / Eastern Passage,North America,Canada,Nova Scotia,Eastern Passage,,east-canada,44.61168,-63.4939
64,North America / Canada / Nova Scotia / Fergusons Cove,North America,Canada,Nova Scotia,Fergusons Cove,,east-canada,44.60118,-63.56125
65,North America / Canada / Prince Edward Island / Cornwall,North America,Canada,Prince Edward Island,Cornwall,,east-canada,46.22964,-63.21797
66,"Europe / Netherlands / Provincie Noord-Holland / Texel, Paal 6",Europe,Netherlands,Provincie Noord-Holland,"Texel, Paal 6",,europe,52.31,5.46
67,North America / United States / Massachusetts / Essex / Lawrence,North America,United States,Massachusetts,Essex,Lawrence,new-england,42.70849,-71.15999
68,Europe / Finland,Europe,Finland,,,,europe,64.83949,25.57046
