state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
300000	-50250.007182557376	-5720.263828442812	-44529.743354114566	4.964996654017396	2021.0870581405031	113.16002828130166	16.044565357824485	0.5607722131000633	9.338374280919645	0.3295309910882366	0.19932690350724228	0.24314898629042161	0.2279931191140938	0.2489996867956822	0.0023530693684197823	0.002228940514498798	0.001964030796029109	0.9706109306099922	-0.02716795719329043	2.285619766196413	0.981630312208729	2.1385602844039258	-44529.743354114566	-4752.222150280621	-967.7794012544352
600000	-50261.83873383851	-5719.4495616799795	-44542.38917215853	5.475115723362036	2020.5769390711584	113.47260704020064	12.37185291935615	0.43498777800144556	8.740258145024255	0.33496048338065937	0.19416378140023563	0.2442179248643181	0.2266578103547813	0.23319176096338046	0.0024459351918450136	0.002401562938361004	0.002116486145632109	0.9610151323924148	-0.0035536784279783574	2.482787209256654	0.9832862194512029	2.098808120359384	-44542.38917215853	-4752.222150280621	-967.4697877807096
900000	-50269.36687160466	-5733.639149237453	-44535.727722367206	5.32632250514295	2020.7257322893774	115.29998790041762	14.612233041489436	0.4584057311373316	9.722424397751288	0.3329439619349663	0.19610375144036193	0.23990502814416997	0.23104725848049645	0.2204709653170595	0.0025722439959024184	0.002498883102067159	0.0020041899825904144	0.9811331223331438	0.07033575746434788	2.3528509647409535	0.8703904144691369	2.2957569332973735	-44535.727722367206	-4752.222150280621	-981.2687235017045
1200000	-50230.964948512024	-5731.897706943264	-44499.06724156876	5.516354629193229	2020.5357001653272	117.11938614396314	13.818812691789356	0.46347129325316294	8.608450153062572	0.32991982047347884	0.19115455723860406	0.24459471092423887	0.23433091136367312	0.20674623432127234	0.00231853130136125	0.0021884775445832933	0.0019207964519768223	0.9927162969864715	-5.840967039653956E-4	2.3254850911350817	0.8977793080469435	2.122061853319834	-44499.06724156876	-4752.222150280621	-979.9074174055768
1500000	-50247.74185965388	-5716.413881753396	-44531.32797790048	5.473322540075707	2020.5787322544447	112.02726783136286	11.417008123639041	0.4452218424792481	8.860424307829298	0.3324729916964948	0.1961664793415629	0.24062106064641858	0.230739468315519	0.2513147631665364	0.002624254521254023	0.0026907485819350073	0.0020811534132204423	0.9014522769274329	0.06061787447095676	2.335889030069837	0.9789589133211	2.1259926587541123	-44531.32797790048	-4752.222150280621	-964.3851229502197
1800000	-50238.47628810254	-5682.268749531457	-44556.207538571085	5.7345117328695405	2020.317543061651	108.2799684412429	11.850847213859508	0.5093389654547621	8.507680445107203	0.3328257371093095	0.20151834995557694	0.24218664970958081	0.22346926322552793	0.2532386591130657	0.0026939447081795295	0.002842802903170879	0.002098909304268876	1.0399231718450903	0.02609957878231908	2.4100978986354518	0.992833678837473	2.1089122263428397	-44556.207538571085	-4752.222150280621	-930.1772652639447
2100000	-50317.508631655044	-5733.569940461498	-44583.93869119354	5.15222211880277	2020.8998326757178	115.5264341353943	14.102861612912058	0.47059838421910716	8.460628844477375	0.33317606178863995	0.19548434973742887	0.2371933584465292	0.2341462300273969	0.20657403262192145	0.0022625471956688324	0.002084795953521056	0.0019444854709366383	0.8822964113714513	0.04866505784006184	2.3813055763951927	1.0520369806192877	2.3542805930364685	-44583.93869119354	-4752.222150280621	-981.5983708412742
2400000	-50271.57026934436	-5694.9277276318935	-44576.64254171246	5.6815702378195345	2020.3704845567008	110.31341933294408	13.693164105642094	0.4652739160503735	8.22662762435456	0.3291622037612099	0.19514154186263996	0.2432429986229018	0.23245325575324297	0.273815817636849	0.0024278018489545315	0.0021656096778352014	0.0021170462162104936	0.8560674401567687	-0.05127594846320011	2.409143379469811	1.0272925318007307	2.088620240376331	-44576.64254171246	-4752.222150280621	-942.8396447456965
2700000	-50281.890372058246	-5741.15046488301	-44540.73990717524	5.624252947115333	2020.4278018474051	117.64671274318711	15.921471387676831	0.5240202724362907	8.952884604302264	0.33268933718939947	0.20126767038490004	0.235552451136744	0.23049054128895063	0.21421847600702673	0.0022805888964068668	0.00243530601176545	0.001956541334447032	1.0179689318893193	-0.014366964467442856	2.4308899773517236	0.3509470371279996	2.1692308308386634	-44540.73990717524	-4752.222150280621	-988.8873738936169
3000000	-50269.773795615074	-5750.4981573624245	-44519.27563825265	6.847204109524118	2019.2048506849962	122.29183947765083	15.15922132204221	0.456261568131129	8.960599129257083	0.3283987346855852	0.1979364809940739	0.24193720564237317	0.23172757867796137	0.24649764616081707	0.002370786812326193	0.002355523471071876	0.0018470829969322723	0.9216358756003523	0.029820938454071876	2.287366594686448	0.8983955893021462	2.2442079949178604	-44519.27563825265	-4752.222150280621	-998.2643909423496
3300000	-50283.30821253163	-5728.313264224792	-44554.994948306834	5.11983405780406	2020.9322207367163	113.39169343411687	16.159300522709994	0.5171859540056961	9.299620046303703	0.3358960927014245	0.19611393447747136	0.23491162691437692	0.23307834590672108	0.2348949682241863	0.0026337360731420504	0.0025114056271414603	0.0020531705118539867	0.9505141772362798	-0.021912881241480223	2.4353579262665797	0.9384175249470524	2.1401591831590485	-44554.994948306834	-4752.222150280621	-975.8124082976645
3600000	-50311.2445255377	-5763.882796828948	-44547.361728708755	5.9713565535639574	2020.0806982409565	120.87277150779812	14.435457809008254	0.47436683164107385	9.010527722249869	0.3276419951504363	0.19974370903107475	0.2362386596045528	0.2363756362139299	0.2272139631240977	0.002141919174871791	0.002198745002203549	0.0018925996912336686	0.9124484931165059	6.646705882150177E-4	2.358691254239722	0.9674145062648134	2.0666978720763325	-44547.361728708755	-4752.222150280621	-1011.7850280479727
3900000	-50219.54559193104	-5694.536427333726	-44525.009164597315	5.550772828264752	2020.5012819662556	110.92135100965382	8.951040990094425	0.2964473952835218	8.548168528753928	0.3322971587193145	0.1966698487942663	0.24016557737299032	0.2308674151134227	0.24603757087916558	0.002548414344636008	0.0029311967455708183	0.0020687932355343192	0.9438659727427907	-0.024318600577074842	2.374293904930014	0.2530694394034889	2.1523413987459223	-44525.009164597315	-4752.222150280621	-942.9932242531362
4200000	-50232.72017224416	-5683.70770327317	-44549.01246897099	5.293990493003079	2020.7580643015174	107.06912405435615	14.005860058588299	0.5240911246034298	8.552821142047355	0.32637516226564295	0.19487399397500477	0.24266928977497726	0.23608155398436903	0.2306801220733862	0.0026800765462274127	0.002771594682884599	0.0021752865308704208	0.9760529998001679	-0.007770923875537902	2.257437609920317	0.9553116865836557	2.2287022179912466	-44549.01246897099	-4752.222150280621	-931.472260695151
4500000	-50316.946992566714	-5729.7719741600595	-44587.175018406655	5.5268590930772	2020.5251957014432	115.53469736012698	14.260909858054127	0.43683314036029147	8.650898654904537	0.3279138337032988	0.1944550643134403	0.2413745023261573	0.2362565996570978	0.26572630067405734	0.00241087022980679	0.002452414440205822	0.0019947190775458376	1.0061419562911094	0.04517333044443705	2.3228312285023014	1.0052780576653042	2.1483428381965006	-44587.175018406655	-4752.222150280621	-977.6161913268369
4800000	-50282.01443582206	-5742.574944876688	-44539.43949094537	5.553349067132	2020.4987057273884	117.71551417345269	17.852647336830866	0.5862226842174103	9.230875963073759	0.3271708291574507	0.19639763374212976	0.24161779866175878	0.23481373843865463	0.23482615265508894	0.002184134293431244	0.0020603741890008534	0.0018616225418445341	0.8707007431777543	0.033851548993906286	2.4871265461760172	0.9860856896325696	2.13365056163506	-44539.43949094537	-4752.222150280621	-990.0739700330334
5100000	-50270.68422595019	-5712.01677839307	-44558.66744755711	5.093023607087828	2020.9590311874326	112.59882479336773	13.604576695921446	0.4781213828501305	9.346861928165096	0.3312973731798639	0.1953139583651027	0.24046963388657597	0.2329190345684518	0.20437924518061418	0.0023100682961127764	0.0021639093454289375	0.0019805160140664124	0.8756547849566686	0.01846270670561469	2.481037025850836	0.9722259083784998	2.2100698783918373	-44558.66744755711	-4752.222150280621	-959.8806739366479
5400000	-50279.08661058191	-5736.130696621158	-44542.95591396075	5.031542963891023	2021.0205118306294	115.36066189868409	13.470437787244352	0.46056412862388757	9.023957506618906	0.3283568107975684	0.19533634122312368	0.24252779826297668	0.23377904971632532	0.22242412791910457	0.0025572648420054364	0.0025899639349913958	0.0020083102102224407	1.0089471566712402	0.05435861502060168	2.297109813736721	0.9262648365743572	2.1515089468930113	-44542.95591396075	-4752.222150280621	-983.9736306278388
5700000	-50223.592484769935	-5696.903990168675	-44526.68849460126	5.425338795539783	2020.6267159989807	109.67484012900127	10.247070889525578	0.36137629370330676	8.993716540502527	0.32902001456184554	0.19233684955426053	0.2413081909532164	0.23733494493067134	0.2283111527660065	0.0023367331135711236	0.0022007596385861393	0.0020308093262509435	0.942356119254402	0.08432257110810405	2.235851437562202	0.9615505212832784	2.1427680209647364	-44526.68849460126	-4752.222150280621	-945.1734895892541
